job_id,posted_date,company,job_title,location,employment_type,experience_level,salary_min_lpa,salary_max_lpa,job_description,redirect_url,category,source,source_query,source_location,true_role_label
ADZUNA_5737750893,2026-05-22T22:29:07Z,TalentOla,AWSAIMLOps,India,Unknown,,,,"Please find below the complete JD: Lead design and optimization of scalable, secure AWS cloud architectures across compute, storage, networking, and security services. Build and manage AI/ML pipelines leveraging AWS services like Sagemaker, Lambda, ECS/EKS, Bedrock, and DynamoDB. Drive automation using IaC tools (Terraform/CloudFormation) and CI/CD pipelines for rapid, reliable deployments. Enable MLOps best practices including model training, evaluation, deployment, and monitoring at scale. Co…",https://www.adzuna.in/details/5737750893?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737746828,2026-05-22T22:27:10Z,Evnek Technologies Pvt Ltd,Lead Data Engineer,"Naduvathi, Bangalore, Karnataka",contract,,,,"This is a remote position. Job Description – Lead Data Engineer Experience: 7–10 Years Location: Remote / Hybrid (Bengaluru) Notice Period: Immediate Joiners Only Domain: Data Platforms & Analytics Infrastructure About the Role We are looking for a highly skilled and experienced Lead Data Engineer to build and scale modern data platforms that power analytics, reporting, and AI/ML initiatives. In this role, you will own the end-to-end data lifecycle, architect scalable data solutions, and lead a…",https://www.adzuna.in/details/5737746828?utm_medium=api&utm_source=f82dfe0b,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737586126,2026-05-22T17:53:50Z,VISTRA,"EVP Enterprise Data, AI & Machine Learning","Mumbai, Maharashtra, India",Unknown,,,,"About Vistra Vistra is a leading provider of essential business services to help companies and private capital funds grow across the entire business and investment lifecycle. We work with nearly half of the Fortune Global 500, managing more than 200,000 legal entities, and working with two-thirds of the Private Equity International (PEI) 300. Vistra is owned by BPEA EQT, the Asian private equity arm of EQT, which is the 3rd largest PE fund globally. We are currently in an exciting phase of acce…",https://www.adzuna.in/land/ad/5737586126?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=FE858EF4DB17E08578C58BC0290A3883E4C7B878,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737585902,2026-05-22T17:53:48Z,AI Innovation and Inclusion Initiative ,AI ANALYTICS AND DASHBOARD ENGINEER,"Bangalore, Karnataka, India",contract,,,,"AI ANALYTICS AND DASHBOARD ENGINEER Data Platforms and Reporting | A4I Lab (IIIT-B x Microsoft) Organization: A4I Lab (IIIT-B x Microsoft) Location: IIIT Bangalore Type: Contract (through March 2027, extendable) Experience: 3 to 5 years About A4I Lab AI Innovation and Inclusion Initiative (A4I) is a partnership between Microsoft and IIIT-B, working with non-profit partners to apply AI to real-world challenges in education, healthcare, accessibility, and agriculture. A4I helps evolve promising i…",https://www.adzuna.in/land/ad/5737585902?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=7AD11ED4EB7EE623961B31A737803C942A88C214,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737585459,2026-05-22T17:53:45Z,Marsh,Senior Principal Engineer - Data Science,"Mumbai, Maharashtra, India",Unknown,,,,"Marsh is seeking a candidate for following position based out our office in Mumbai : Senior Principal Engineer - Data Science What can you expect? This position is for an individual contributor in Data Science, who will develop and implement leading-edge techniques in artificial intelligence, machine learning, predictive modeling, and natural language processing as applied in commercial insurance and risk management. This position consults with senior colleagues on complex financial and statist…",https://www.adzuna.in/land/ad/5737585459?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=B7C45B3891A0CDE4228742C052845776807CF372,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737585177,2026-05-22T17:53:42Z,Uptrail,Data Science - Instructor,"Bangalore, Karnataka, India",Unknown,,,,"Company Overview Uptrail is a UK-based career accelerator that supports students, job seekers, and early-career professionals as they confidently transition into the tech industry. We offer structured, hands-on programmes in data science, software development, cyber security, and cloud engineering designed to bridge the gap between academic learning and real-world experience. Open to both UK-based and international participants, Uptrail is dedicated to developing the next generation of data ana…",https://www.adzuna.in/land/ad/5737585177?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=F5B863F9A7C0E77CB8928C0D468C156CD4F37D23,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737583521,2026-05-22T17:53:29Z,AagatiServe,Data Analyst,"Bangalore, Karnataka, India",Unknown,,,,"Overview We are seeking a proactive and analytical Mid-Level Data Analyst to join our team. In this role, you’ll work closely with business stakeholders to translate data into clear, actionable insights. You will design reports, develop dashboards, and provide data-driven recommendations that support strategic and operational decision-making across the organization. Key Responsibilities Partner with business leaders to understand their objectives, requirements, and data needs. Design, build, an…",https://www.adzuna.in/land/ad/5737583521?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=7B5C27DD8164D4EA6EA06448EA234CE902F534FA,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737583088,2026-05-22T17:53:27Z,Recruise India Consulting Pvt Ltd,Manager Data Analytics and Insights,"Chennai, Tamil Nadu, India",Unknown,,,,"Job Title: Manager, Data Analytics and Insights L ocation: Chennai Experience Level - 6 to 10 years Mandatory Skills :- Minimum 5 - 6 years of experience into Analytics background US Fintech Experience Experience into card domain and analytics side (Credit and Debit) Aware about Fraud process (Chargeback, Disputes, Operations) As a Manager, Debit Card Disputes on the Debit Card Fraud Team, you will be responsible to support the design and operation of debit card fraud and non-fraud disputes man…",https://www.adzuna.in/land/ad/5737583088?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=2FDD2986438BC0F87CE79C8225190E64158C80A2,IT Jobs,adzuna_api,data scientist,India,
ADZUNA_5737583204,2026-05-22T17:53:27Z,Angel One,Rewards Manager,"Bangalore, Karnataka, India",Unknown,,,,"About Angel One: Angel One is one of India’s fastest growing fin-techs, on a bold mission to make investing simple, smart, and inclusive for every Indian. With over 3 crore clients, we’re building at scale – and building for impact. Our Super App helps clients manage their investments, trade seamlessly, and access financial tools tailored to their goals. We are working to build personalized financial journeys for our clients, powered by new-age tech, AI, Machine Learning and Data Science. We're…",https://www.adzuna.in/land/ad/5737583204?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=20623C90D1CF683DB6033924E3E3E64CFD9B8BE5,HR & Recruitment Jobs,adzuna_api,data scientist,India,
ADZUNA_5737583210,2026-05-22T17:53:27Z,Certification Partner Global FZ LLC,ISO Certification Field Sales Assistant Manager for Mumbai,"Mumbai, Maharashtra, India",full_time,,,,"Company Description CPG Assurance Service Pvt Ltd, Mumbai is one of the 34 branch offices of the Australian company Certification Partner Global FZ LLC (CPG) and is a leading provider of internationally recognized ISO certification services, supporting businesses in achieving compliance with global standards. With a commitment to quality and best practices, CPG helps organizations enhance their credibility, streamline processes, and foster trust among stakeholders. The company operates across a…",https://www.adzuna.in/land/ad/5737583210?se=FDImowtW8RGvjPD20Sc1wQ&utm_medium=api&utm_source=f82dfe0b&v=7DB7425C29A5D3D06AAF780F7B7DE88D39F148EB,Sales Jobs,adzuna_api,data scientist,India,
